STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
GHCND:USW00023293,15.5,37.3591,-121.924,20160526,0.00,-9999,-9999,78,50
GHCND:USW00023293,15.5,37.3591,-121.924,20160527,0.00,-9999,-9999,80,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160528,0.00,-9999,-9999,87,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160529,0.00,-9999,-9999,83,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160530,0.00,-9999,-9999,83,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160531,0.00,-9999,-9999,89,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160601,0.00,-9999,-9999,82,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160602,0.00,-9999,-9999,86,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160603,0.00,-9999,-9999,95,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160604,0.00,-9999,-9999,89,61
GHCND:USW00023293,15.5,37.3591,-121.924,20160605,0.00,-9999,-9999,88,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160606,0.00,-9999,-9999,77,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160607,0.00,-9999,-9999,79,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160608,0.00,-9999,-9999,74,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160609,0.00,-9999,-9999,72,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160610,0.00,-9999,-9999,73,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160611,0.00,-9999,-9999,86,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160612,0.00,-9999,-9999,84,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160613,0.00,-9999,-9999,75,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160614,0.00,-9999,-9999,72,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160615,0.00,-9999,-9999,70,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160616,0.00,-9999,-9999,77,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160617,0.00,-9999,-9999,79,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160618,0.00,-9999,-9999,77,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160619,0.00,-9999,-9999,87,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160620,0.00,-9999,-9999,85,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160621,0.00,-9999,-9999,90,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160622,0.00,-9999,-9999,75,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160623,0.00,-9999,-9999,82,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160624,0.00,-9999,-9999,82,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160625,0.00,-9999,-9999,90,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160626,0.00,-9999,-9999,88,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160627,0.00,-9999,-9999,87,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160628,0.00,-9999,-9999,84,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160629,0.00,-9999,-9999,73,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160630,0.00,-9999,-9999,86,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160701,0.00,-9999,-9999,81,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160702,0.00,-9999,-9999,81,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160703,0.00,-9999,-9999,81,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160704,0.00,-9999,-9999,80,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160705,0.00,-9999,-9999,77,57
